external_id,timestamp,amount,currency,counterparty,raw_category_hint
SYN-0000000,2026-01-02T05:08:22+00:00,6876.46,USD,"Rodriguez, Figueroa and Sanchez",fee
SYN-0000001,2026-01-05T23:24:55+00:00,18516.95,USD,Doyle Ltd,fee
SYN-0000002,2026-01-29T15:58:25+00:00,795.54,USD,"Mcclain, Miller and Henderson",wire
SYN-0000003,2026-01-12T07:04:10+00:00,15050.87,USD,Davis and Sons,internal_transfer
SYN-0000004,2026-01-27T10:54:10+00:00,5511.8,USD,"Guzman, Hoffman and Baldwin",wire
SYN-0000005,2026-01-01T07:34:17+00:00,20145.68,USD,"Gardner, Robinson and Lawrence",refund
SYN-0000006,2026-01-17T12:25:14+00:00,3887.83,USD,Blake and Sons,
SYN-0000007,2026-01-17T08:09:39+00:00,2319.55,USD,"Henderson, Ramirez and Lewis",
SYN-0000008,2026-01-17T16:44:14+00:00,6613.76,USD,Garcia-James,internal_transfer
SYN-0000009,2026-01-23T07:16:07+00:00,3121.53,USD,Abbott-Munoz,internal_transfer
SYN-0000010,2026-01-04T19:48:31+00:00,7330.16,USD,Blair PLC,internal_transfer
SYN-0000011,2026-01-18T13:20:07+00:00,4808.02,USD,Dudley Group,internal_transfer
SYN-0000012,2026-01-12T01:31:14+00:00,7235.41,USD,Arnold Ltd,refund
SYN-0000013,2026-01-12T07:13:15+00:00,2525.93,USD,"Mcclure, Ward and Lee",refund
SYN-0000014,2026-01-18T17:03:37+00:00,9255.15,USD,Williams and Sons,
SYN-0000015,2026-01-13T23:03:06+00:00,23416.43,USD,Galloway-Wyatt,fee
SYN-0000016,2026-01-30T13:41:20+00:00,4279.3,USD,James Group,fee
SYN-0000017,2026-01-08T22:22:39+00:00,9487.01,USD,"Flowers, Martin and Kelly",wire
SYN-0000018,2026-01-28T00:53:36+00:00,17115.67,USD,"Adams, Zuniga and Wong",
SYN-0000019,2026-01-03T17:10:20+00:00,20545.24,USD,"Reid, Ferguson and Sanchez",
SYN-0000020,2026-01-20T11:23:27+00:00,1655.65,USD,Gray-Mayo,
SYN-0000021,2026-01-28T12:48:45+00:00,7867.63,USD,"Watts, Robinson and Nguyen",fee
SYN-0000022,2026-01-20T04:56:40+00:00,11471.84,USD,Perez Inc,fee
SYN-0000023,2026-01-12T23:20:30+00:00,14034.64,USD,Morales-Jones,fee
SYN-0000024,2026-01-29T09:05:31+00:00,22445.67,USD,"Walter, Edwards and Rios",wire
SYN-0000025,2026-01-11T15:31:37+00:00,12738.65,USD,Wilkerson-Day,
SYN-0000026,2026-01-03T06:53:40+00:00,2742.12,USD,Baker and Sons,refund
SYN-0000027,2026-01-21T11:51:07+00:00,1589.13,USD,"Hoffman, Baker and Richards",internal_transfer
SYN-0000028,2026-01-23T17:19:03+00:00,6286.1,USD,"Ross, Robinson and Bright",internal_transfer
SYN-0000029,2026-01-01T13:22:34+00:00,18018.32,USD,"Snyder, Campos and Callahan",fee
SYN-0000030,2026-01-27T01:36:56+00:00,6671.36,USD,Burton Ltd,refund
SYN-0000031,2026-01-06T09:58:03+00:00,10869.7,USD,Carlson-Cruz,
SYN-0000032,2026-01-13T18:52:13+00:00,19049.29,USD,"Ferrell, Rice and Maddox",internal_transfer
SYN-0000033,2026-01-06T03:58:39+00:00,15632.88,USD,Frazier Inc,refund
SYN-0000034,2026-01-25T15:28:12+00:00,4973.58,USD,"Dyer, Potter and Mack",internal_transfer
SYN-0000035,2026-01-08T20:13:05+00:00,23837.54,USD,Rodriguez-Graham,internal_transfer
SYN-0000036,2026-01-01T00:39:58+00:00,8104.58,USD,Smith-Bowen,internal_transfer
SYN-0000037,2026-01-18T14:54:11+00:00,1201.06,US,"Baker, Mason and White",
SYN-0000038,2026-01-04T19:45:31+00:00,18297.96,USD,Harrell LLC,
SYN-0000039,2026-01-26T20:38:51+00:00,3144.89,USD,"Romero, Gonzalez and Brooks",refund
SYN-0000040,2026-01-27T16:34:03+00:00,6627.15,USD,Ryan PLC,
SYN-0000041,2026-01-21T12:59:29+00:00,23222.91,USD,George Group,
SYN-0000042,2026-01-10T18:21:28+00:00,7793.6,USD,Rodriguez LLC,fee
SYN-0000043,2026-01-19T03:03:59+00:00,22490.45,USD,Allen-Allen,wire
SYN-0000044,2026-01-13T00:49:51+00:00,1601.58,USD,"Arroyo, Miller and Tucker",
SYN-0000045,2026-01-27T21:21:55+00:00,40.92,12A,Spence PLC,
SYN-0000046,2026-01-12T02:44:11+00:00,22635.59,USD,Anderson Group,
SYN-0000047,2026-01-04T10:33:17+00:00,5950.88,USD,"Martin, Rose and Obrien",internal_transfer
SYN-0000048,2026-01-11T09:36:14+00:00,3308.66,USD,Hickman Ltd,internal_transfer
SYN-0000049,2026-01-28T17:18:48+00:00,11817.3,USD,"Harris, Collins and Carney",internal_transfer
SYN-0000050,2026-01-20T18:15:33+00:00,2359.05,USD,"Brooks, Lam and Hayes",
SYN-0000051,2026-01-18T04:47:11+00:00,10278.15,USD,Walker LLC,wire
SYN-0000052,2026-01-03T15:06:50+00:00,16336.73,USD,Chapman and Sons,fee
